2017-01-18 16:14:29.569 | INFO | Loading XML bean definitions from URL [jar:file:/D:/Java/maven/repository/tech/wetech/wetech-core/0.0.1-SNAPSHOT/wetech-core-0.0.1-SNAPSHOT.jar!/beans.xml] | Scanner-0 | org.springframework.beans.factory.xml.XmlBeanDefinitionReader.loadBeanDefinitions | XmlBeanDefinitionReader.java:317 
2017-01-18 16:14:29.960 | INFO | Loading properties file from class path resource [jdbc.properties] | Scanner-0 | org.springframework.beans.factory.config.PropertyPlaceholderConfigurer.loadProperties | PropertiesLoaderSupport.java:172 
2017-01-18 16:14:29.967 | INFO | JSR-330 'javax.inject.Inject' annotation found and supported for autowiring | Scanner-0 | org.springframework.beans.factory.annotation.AutowiredAnnotationBeanPostProcessor.<init> | AutowiredAnnotationBeanPostProcessor.java:155 
2017-01-18 16:14:30.537 | INFO | HCANN000001: Hibernate Commons Annotations {4.0.1.Final} | Scanner-0 | org.hibernate.annotations.common.Version.<clinit> | Version.java:37 
2017-01-18 16:14:30.547 | INFO | HHH000412: Hibernate Core {4.2.0.Final} | Scanner-0 | org.hibernate.Version.logVersion | Version.java:41 
2017-01-18 16:14:30.554 | INFO | HHH000206: hibernate.properties not found | Scanner-0 | org.hibernate.cfg.Environment.<clinit> | Environment.java:239 
2017-01-18 16:14:30.556 | INFO | HHH000021: Bytecode provider name : javassist | Scanner-0 | org.hibernate.cfg.Environment.buildBytecodeProvider | Environment.java:342 
2017-01-18 16:14:31.079 | INFO | HHH000400: Using dialect: org.hibernate.dialect.MySQLDialect | Scanner-0 | org.hibernate.dialect.Dialect.<init> | Dialect.java:128 
2017-01-18 16:14:31.100 | INFO | HHH000399: Using default transaction strategy (direct JDBC transactions) | Scanner-0 | org.hibernate.engine.transaction.internal.TransactionFactoryInitiator.initiateService | TransactionFactoryInitiator.java:68 
2017-01-18 16:14:31.105 | INFO | HHH000397: Using ASTQueryTranslatorFactory | Scanner-0 | org.hibernate.hql.internal.ast.ASTQueryTranslatorFactory.<init> | ASTQueryTranslatorFactory.java:48 
2017-01-18 16:14:31.154 | INFO | HV000001: Hibernate Validator 4.3.1.Final | Scanner-0 | org.hibernate.validator.internal.util.Version.<clinit> | Version.java:27 
2017-01-18 16:14:31.493 | INFO | HHH000228: Running hbm2ddl schema update | Scanner-0 | org.hibernate.tool.hbm2ddl.SchemaUpdate.execute | SchemaUpdate.java:182 
2017-01-18 16:14:31.493 | INFO | HHH000102: Fetching database metadata | Scanner-0 | org.hibernate.tool.hbm2ddl.SchemaUpdate.execute | SchemaUpdate.java:193 
2017-01-18 16:14:31.497 | INFO | HHH000396: Updating schema | Scanner-0 | org.hibernate.tool.hbm2ddl.SchemaUpdate.execute | SchemaUpdate.java:205 
2017-01-18 16:14:31.526 | INFO | HHH000261: Table found: wetech_cms.t_attachment | Scanner-0 | org.hibernate.tool.hbm2ddl.TableMetadata.<init> | TableMetadata.java:65 
2017-01-18 16:14:31.527 | INFO | HHH000037: Columns: [is_img, size, is_index_pic, old_name, id, suffix, type, create_date, is_attach, tid, new_name] | Scanner-0 | org.hibernate.tool.hbm2ddl.TableMetadata.<init> | TableMetadata.java:66 
2017-01-18 16:14:31.527 | INFO | HHH000108: Foreign keys: [fk48549dceefdd7fd5] | Scanner-0 | org.hibernate.tool.hbm2ddl.TableMetadata.<init> | TableMetadata.java:68 
2017-01-18 16:14:31.527 | INFO | HHH000126: Indexes: [fk48549dceefdd7fd5, primary] | Scanner-0 | org.hibernate.tool.hbm2ddl.TableMetadata.<init> | TableMetadata.java:69 
2017-01-18 16:14:31.544 | INFO | HHH000261: Table found: wetech_cms.t_channel | Scanner-0 | org.hibernate.tool.hbm2ddl.TableMetadata.<init> | TableMetadata.java:65 
2017-01-18 16:14:31.545 | INFO | HHH000037: Columns: [custom_link, custom_link_url, is_index, is_top_nav, recommend, pid, is_leaf, type, descn, nav_order, name, orders, show_index, id, status] | Scanner-0 | org.hibernate.tool.hbm2ddl.TableMetadata.<init> | TableMetadata.java:66 
2017-01-18 16:14:31.545 | INFO | HHH000108: Foreign keys: [fke79d7038d7ddf6e5] | Scanner-0 | org.hibernate.tool.hbm2ddl.TableMetadata.<init> | TableMetadata.java:68 
2017-01-18 16:14:31.545 | INFO | HHH000126: Indexes: [fke79d7038d7ddf6e5, primary] | Scanner-0 | org.hibernate.tool.hbm2ddl.TableMetadata.<init> | TableMetadata.java:69 
2017-01-18 16:14:31.559 | INFO | HHH000261: Table found: wetech_cms.t_cms_link | Scanner-0 | org.hibernate.tool.hbm2ddl.TableMetadata.<init> | TableMetadata.java:65 
2017-01-18 16:14:31.559 | INFO | HHH000037: Columns: [pos, url_class, link_url, id, url_id, title, type, new_win, link_id, url, link_clz] | Scanner-0 | org.hibernate.tool.hbm2ddl.TableMetadata.<init> | TableMetadata.java:66 
2017-01-18 16:14:31.560 | INFO | HHH000108: Foreign keys: [] | Scanner-0 | org.hibernate.tool.hbm2ddl.TableMetadata.<init> | TableMetadata.java:68 
2017-01-18 16:14:31.560 | INFO | HHH000126: Indexes: [primary] | Scanner-0 | org.hibernate.tool.hbm2ddl.TableMetadata.<init> | TableMetadata.java:69 
2017-01-18 16:14:31.572 | INFO | HHH000261: Table found: wetech_cms.t_group | Scanner-0 | org.hibernate.tool.hbm2ddl.TableMetadata.<init> | TableMetadata.java:65 
2017-01-18 16:14:31.573 | INFO | HHH000037: Columns: [descr, name, id] | Scanner-0 | org.hibernate.tool.hbm2ddl.TableMetadata.<init> | TableMetadata.java:66 
2017-01-18 16:14:31.573 | INFO | HHH000108: Foreign keys: [] | Scanner-0 | org.hibernate.tool.hbm2ddl.TableMetadata.<init> | TableMetadata.java:68 
2017-01-18 16:14:31.573 | INFO | HHH000126: Indexes: [primary] | Scanner-0 | org.hibernate.tool.hbm2ddl.TableMetadata.<init> | TableMetadata.java:69 
2017-01-18 16:14:31.586 | INFO | HHH000261: Table found: wetech_cms.t_group_channel | Scanner-0 | org.hibernate.tool.hbm2ddl.TableMetadata.<init> | TableMetadata.java:65 
2017-01-18 16:14:31.586 | INFO | HHH000037: Columns: [g_id, c_id, id] | Scanner-0 | org.hibernate.tool.hbm2ddl.TableMetadata.<init> | TableMetadata.java:66 
2017-01-18 16:14:31.586 | INFO | HHH000108: Foreign keys: [fkb7d322b8ef562c89, fkb7d322b8d80ab7d1] | Scanner-0 | org.hibernate.tool.hbm2ddl.TableMetadata.<init> | TableMetadata.java:68 
2017-01-18 16:14:31.587 | INFO | HHH000126: Indexes: [fkb7d322b8ef562c89, primary, fkb7d322b8d80ab7d1] | Scanner-0 | org.hibernate.tool.hbm2ddl.TableMetadata.<init> | TableMetadata.java:69 
2017-01-18 16:14:31.599 | INFO | HHH000261: Table found: wetech_cms.t_index_pic | Scanner-0 | org.hibernate.tool.hbm2ddl.TableMetadata.<init> | TableMetadata.java:65 
2017-01-18 16:14:31.600 | INFO | HHH000037: Columns: [link_type, sub_title, old_name, pos, thumbnail_pic, link_url, id, pic, create_date, title, status, new_name] | Scanner-0 | org.hibernate.tool.hbm2ddl.TableMetadata.<init> | TableMetadata.java:66 
2017-01-18 16:14:31.600 | INFO | HHH000108: Foreign keys: [] | Scanner-0 | org.hibernate.tool.hbm2ddl.TableMetadata.<init> | TableMetadata.java:68 
2017-01-18 16:14:31.600 | INFO | HHH000126: Indexes: [primary] | Scanner-0 | org.hibernate.tool.hbm2ddl.TableMetadata.<init> | TableMetadata.java:69 
2017-01-18 16:14:31.613 | INFO | HHH000261: Table found: wetech_cms.t_keyword | Scanner-0 | org.hibernate.tool.hbm2ddl.TableMetadata.<init> | TableMetadata.java:65 
2017-01-18 16:14:31.614 | INFO | HHH000037: Columns: [name_short_py, times, name, id, name_full_py] | Scanner-0 | org.hibernate.tool.hbm2ddl.TableMetadata.<init> | TableMetadata.java:66 
2017-01-18 16:14:31.614 | INFO | HHH000108: Foreign keys: [] | Scanner-0 | org.hibernate.tool.hbm2ddl.TableMetadata.<init> | TableMetadata.java:68 
2017-01-18 16:14:31.614 | INFO | HHH000126: Indexes: [primary] | Scanner-0 | org.hibernate.tool.hbm2ddl.TableMetadata.<init> | TableMetadata.java:69 
2017-01-18 16:14:31.631 | INFO | HHH000261: Table found: wetech_cms.t_role | Scanner-0 | org.hibernate.tool.hbm2ddl.TableMetadata.<init> | TableMetadata.java:65 
2017-01-18 16:14:31.631 | INFO | HHH000037: Columns: [role_type, name, id] | Scanner-0 | org.hibernate.tool.hbm2ddl.TableMetadata.<init> | TableMetadata.java:66 
2017-01-18 16:14:31.632 | INFO | HHH000108: Foreign keys: [] | Scanner-0 | org.hibernate.tool.hbm2ddl.TableMetadata.<init> | TableMetadata.java:68 
2017-01-18 16:14:31.632 | INFO | HHH000126: Indexes: [primary] | Scanner-0 | org.hibernate.tool.hbm2ddl.TableMetadata.<init> | TableMetadata.java:69 
2017-01-18 16:14:31.648 | INFO | HHH000261: Table found: wetech_cms.t_topic | Scanner-0 | org.hibernate.tool.hbm2ddl.TableMetadata.<init> | TableMetadata.java:65 
2017-01-18 16:14:31.648 | INFO | HHH000037: Columns: [summary, thumb, author, cname, channel_pic_id, recommend, title, content, uid, id, create_date, keyword, publish_date, status, cid] | Scanner-0 | org.hibernate.tool.hbm2ddl.TableMetadata.<init> | TableMetadata.java:66 
2017-01-18 16:14:31.648 | INFO | HHH000108: Foreign keys: [fka10609a452119f24, fka10609a4d7ddc618] | Scanner-0 | org.hibernate.tool.hbm2ddl.TableMetadata.<init> | TableMetadata.java:68 
2017-01-18 16:14:31.649 | INFO | HHH000126: Indexes: [fka10609a452119f24, fka10609a4d7ddc618, primary] | Scanner-0 | org.hibernate.tool.hbm2ddl.TableMetadata.<init> | TableMetadata.java:69 
2017-01-18 16:14:31.663 | INFO | HHH000261: Table found: wetech_cms.t_user | Scanner-0 | org.hibernate.tool.hbm2ddl.TableMetadata.<init> | TableMetadata.java:65 
2017-01-18 16:14:31.664 | INFO | HHH000037: Columns: [password, phone, nickname, id, create_date, email, status, username] | Scanner-0 | org.hibernate.tool.hbm2ddl.TableMetadata.<init> | TableMetadata.java:66 
2017-01-18 16:14:31.664 | INFO | HHH000108: Foreign keys: [] | Scanner-0 | org.hibernate.tool.hbm2ddl.TableMetadata.<init> | TableMetadata.java:68 
2017-01-18 16:14:31.664 | INFO | HHH000126: Indexes: [primary] | Scanner-0 | org.hibernate.tool.hbm2ddl.TableMetadata.<init> | TableMetadata.java:69 
